Goods,AgntI,AgntII,AgntIII,AgntIV,AgntV,AgntVI,AgntVII,AgntVIII,AgntXI,AgntX,Price
GI,2.46,3.95,6.12,10.42,5.49,10.82,9.99,12.1,19.14,19.51,1
GII,2.69,3.05,8.71,7.51,7.04,8.87,12.38,18.28,7.13,24.34,0.8842
GIII,2.47,7.37,7.89,6.98,9.29,11.62,12.31,10.58,9.39,22.11,0.7398
GIV,2.02,3.3,6.55,6.91,8.68,12.18,14.64,12.73,22.58,10.41,0.925
GV,2,4,6.23,9.29,5.12,4.93,15.5,11.53,19.87,21.52,1.0086
GVI,2.86,4.51,6.68,5.98,9.08,16.44,8.78,17.02,17.54,11.12,0.9626
GVII,1.94,3.5,4.75,9.3,10.03,14.2,12.62,15.04,19.83,8.79,1.0632
GVIII,1.83,3.55,3.73,8.31,9.81,9.15,14.17,17.2,15.71,16.54,1.0992
GIX,2.18,3.39,4.5,10.47,11.65,9.35,16.66,15.71,16.2,9.88,0.975
GX,2.16,4.44,5.92,4.89,7.4,9.34,15.82,12.73,13.54,23.77,1.035
